Country,TimeStemp,Product,Colors,Size,Deliver,Day
Us,2022-09-08,iPhone 14 Pro Max,Deep Purple,128GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Deep Purple,256GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Deep Purple,512GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Deep Purple,1TB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Gold,128GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Gold,256GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Gold,512GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Gold,1TB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Silver,128GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Silver,256GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Silver,512GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Silver,1TB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Space Black,128GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Space Black,256GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Space Black,512GB,Currently unavailable,
Us,2022-09-08,iPhone 14 Pro Max,Space Black,1TB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Deep Purple,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Deep Purple,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Deep Purple,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Deep Purple,1TB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Gold,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Gold,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Gold,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Gold,1TB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Silver,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Silver,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Silver,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Silver,1TB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Space Black,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Space Black,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Space Black,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Pro,Space Black,1TB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Blue,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Blue,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Blue,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Purple,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Purple,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Purple,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Midnight,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Midnight,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Midnight,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Starlight,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Starlight,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,Starlight,512GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,(PRODUCT)RED,128GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,(PRODUCT)RED,256GB,Currently unavailable,
Us,2022-09-08,iphone 14 Plus,(PRODUCT)RED,512GB,Currently unavailable,
Us,2022-09-08,iphone 14,Blue,128GB,Currently unavailable,
Us,2022-09-08,iphone 14,Blue,256GB,Currently unavailable,
Us,2022-09-08,iphone 14,Blue,512GB,Currently unavailable,
Us,2022-09-08,iphone 14,Purple,128GB,Currently unavailable,
Us,2022-09-08,iphone 14,Purple,256GB,Currently unavailable,
Us,2022-09-08,iphone 14,Purple,512GB,Currently unavailable,
Us,2022-09-08,iphone 14,Midnight,128GB,Currently unavailable,
Us,2022-09-08,iphone 14,Midnight,256GB,Currently unavailable,
Us,2022-09-08,iphone 14,Midnight,512GB,Currently unavailable,
Us,2022-09-08,iphone 14,Starlight,128GB,Currently unavailable,
Us,2022-09-08,iphone 14,Starlight,256GB,Currently unavailable,
Us,2022-09-08,iphone 14,Starlight,512GB,Currently unavailable,
Us,2022-09-08,iphone 14,(PRODUCT)RED,128GB,Currently unavailable,
Us,2022-09-08,iphone 14,(PRODUCT)RED,256GB,Currently unavailable,
Us,2022-09-08,iphone 14,(PRODUCT)RED,512GB,Currently unavailable,
Tw,2022-09-08,iPhone 14 Pro Max,Deep Purple,128GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Deep Purple,256GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Deep Purple,512GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Deep Purple,1TB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Gold,128GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Gold,256GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Gold,512GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Gold,1TB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Silver,128GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Silver,256GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Silver,512GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Silver,1TB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Space Black,128GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Space Black,256GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Space Black,512GB,暫未發售,
Tw,2022-09-08,iPhone 14 Pro Max,Space Black,1TB,暫未發售,
Us,2019-08-12,IphoneXr,White,64GB,In Stock,
Us,2019-08-12,IphoneXr,White,128GB,In Stock,
Us,2019-08-12,IphoneXr,White,256GB,In Stock,
Us,2019-08-12,IphoneXr,Black,64GB,In Stock,
Us,2019-08-12,IphoneXr,Black,128GB,In Stock,
Us,2019-08-12,IphoneXr,Black,256GB,In Stock,
Us,2019-08-12,IphoneXr,Blue,64GB,In Stock,
Us,2019-08-12,IphoneXr,Blue,128GB,In Stock,
Us,2019-08-12,IphoneXr,Blue,256GB,In Stock,
Us,2019-08-12,IphoneXr,Yellow,64GB,In Stock,
Us,2019-08-12,IphoneXr,Yellow,128GB,In Stock,
Us,2019-08-12,IphoneXr,Yellow,256GB,In Stock,
Us,2019-08-12,IphoneXr,Coral,64GB,In Stock,
Us,2019-08-12,IphoneXr,Coral,128GB,In Stock,
Us,2019-08-12,IphoneXr,Coral,256GB,In Stock,
Us,2019-08-12,IphoneXr,Red,64GB,In Stock,
Us,2019-08-12,IphoneXr,Red,128GB,In Stock,
Us,2019-08-12,IphoneXr,Red,256GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Silver,64GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Silver,256GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Silver,512GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Gray,64GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Gray,256GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Gray,512GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Gold,64GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Gold,256GB,In Stock,
Us,2019-08-12,IphoneXs-Max,Gold,512GB,In Stock,
Us,2019-08-12,IphoneXs,Silver,64GB,In Stock,
Us,2019-08-12,IphoneXs,Silver,256GB,In Stock,
Us,2019-08-12,IphoneXs,Silver,512GB,In Stock,
Us,2019-08-12,IphoneXs,Gray,64GB,In Stock,
Us,2019-08-12,IphoneXs,Gray,256GB,In Stock,
Us,2019-08-12,IphoneXs,Gray,512GB,In Stock,
Us,2019-08-12,IphoneXs,Gold,64GB,In Stock,
Us,2019-08-12,IphoneXs,Gold,256GB,In Stock,
Us,2019-08-12,IphoneXs,Gold,512GB,In Stock,
Us,2019-08-12,Iphone8-plus,Silver,64GB,In Stock,
Us,2019-08-12,Iphone8-plus,Silver,256GB,In Stock,
Us,2019-08-12,Iphone8-plus,Gold,64GB,In Stock,
Us,2019-08-12,Iphone8-plus,Gold,256GB,In Stock,
Us,2019-08-12,Iphone8-plus,Gray,64GB,In Stock,
Us,2019-08-12,Iphone8-plus,Gray,256GB,In Stock,
Us,2019-08-12,Iphone8,Silver,64GB,In Stock,
Us,2019-08-12,Iphone8,Silver,256GB,In Stock,
Us,2019-08-12,Iphone8,Gold,64GB,In Stock,
Us,2019-08-12,Iphone8,Gold,256GB,In Stock,
Us,2019-08-12,Iphone8,Gray,64GB,In Stock,
Us,2019-08-12,Iphone8,Gray,256GB,In Stock,
Us,2019-08-12,AppleWatch3,GPS,38mm,In Stock,
Us,2019-08-12,AppleWatch3,GPSCelluar,38mm,In Stock,
Us,2019-08-12,AppleWatch3,GPS,42mm,In Stock,
Us,2019-08-12,AppleWatch3,GPSCelluar,42mm,In Stock,
Us,2019-08-12,AppleWatch4,GPS,40mm,In Stock,
Us,2019-08-12,AppleWatch4,GPS,44mm,In Stock,
Us,2019-08-12,AppleWatch4,GPSCelluar,40mm,In Stock,
Us,2019-08-12,AppleWatch4,GPSCelluar,44mm,In Stock,
