Product,Timestamp,Dealprice
P40,2020-04-16,4488
P40-Pro,2020-04-16,6488
NEX3S,2020-04-16,4998.0
FindX2,2020-04-16,5499
FindX2-Pro,2020-04-16,6999
Mi10,2020-04-16,3999
Mi10-Pro,2020-04-16,4999
P40,2020-04-15,4488
P40-Pro,2020-04-15,6488
NEX3S,2020-04-15,4998
FindX2,2020-04-15,5499
FindX2-Pro,2020-04-15,6999
Mi10,2020-04-15,3999
Mi10-Pro,2020-04-15,4999
P40,2020-04-14,4488
P40-Pro,2020-04-14,6488
NEX3S,2020-04-14,4998
FindX2,2020-04-14,5499
FindX2-Pro,2020-04-14,6999
Mi10,2020-04-14,3999
Mi10-Pro,2020-04-14,4999
