lowprice_average_laptop,highprice_average_laptop,stock_soldout_laptop,stock_onsale_laptop,timestamp
239.37,2013.09,35.84,27.68,2021-05-27
239.53,2017.01,35.19,28.01,2021-05-26
239.85,1997.85,34.82,27.32,2021-05-25
232.25,1999.25,34.45,29.44,2021-05-24
231.79,1993.95,34.6,30.1,2021-05-23
231.79,1993.95,34.13,30.36,2021-05-22
235.39,1985.73,34.97,29.68,2021-05-21
234.17,1952.23,34.9,31.49,2021-05-20
236.99,1967.31,34.54,29.98,2021-05-19
240.79,2015.65,34.33,28.54,2021-05-18
245.37,1992.25,33.07,28.13,2021-05-17
247.53,2005.37,33.44,23.33,2021-05-16
249.27,2006.25,33.65,22.75,2021-05-15
254.19,2028.97,34.71,22.82,2021-05-14
242.47,4283.12,32.87,21.35,2021-05-13
243.57,4283.12,32.35,21.02,2021-05-12
242.99,4289.08,32.07,19.93,2021-05-11
242.99,4289.08,33.06,20.43,2021-05-10
