lowprice_average,highprice_average,soldout_percent,onsale_percent,total_amount,ordeble_amount,soldout_amount,onsale_amount,non_onsale_amount,onsale_dollar_percent,timestamp
293.61,1889.47,38.48,19.24,473,291,182,56,235,90.5,2021-06-09
301.03,1909.69,37.92,17.75,472,293,179,52,241,90.6,2021-06-08
296.93,1919.29,38.19,17.75,474,293,181,52,241,91.05,2021-06-07
287.11,1924.07,38.32,16.38,475,293,182,48,245,91.2,2021-06-06
283.45,1958.67,37.97,16.67,474,294,180,49,245,91.17,2021-06-05
289.63,2005.65,37.61,17.12,468,292,176,50,242,91.04,2021-06-04
289.61,1994.37,35.61,14.57,469,302,167,44,258,91.26,2021-06-03
293.41,2002.15,37.16,15.28,479,301,178,46,255,91.63,2021-06-02
298.21,2027.55,36.19,15.74,478,305,173,48,257,91.6,2021-06-01
279.91,1996.79,35.62,16.18,480,309,171,50,259,90.43,2021-05-31
