Cpu_Intel,Cpu_AMD,Cpu_Quarter,Desktop_Intel,Desktop_AMD,Laptop_Intel,Laptop_AMD,Server_Intel,Server_AMD,Server_Quarter
58.4,41.6,Q1 2004,54.0,46.0,80.4,8.9,70.8,29.2,Q1 2008
58.2,41.6,Q2 2004,54.7,45.3,69.5,16.9,75.0,25.0,Q2 2008
54.2,45.6,Q3 2004,51.9,47.8,73.7,21.1,71.7,28.3,Q3 2008
57.3,42.7,Q4 2004,52.7,47.3,78,15.4,71.9,28.1,Q4 2008
56.9,42.9,Q1 2005,51.8,48.1,80.7,14.3,76.9,22.8,Q1 2009
57.2,42.8,Q2 2005,51.4,48.6,73.3,20.8,77.4,22.6,Q2 2009
56.3,43.7,Q3 2005,51.4,48.6,80.9,19.1,83.6,16.4,Q3 2009
54.2,45.7,Q4 2005,50.6,49.4,78.8,21.2,85.5,14.5,Q4 2009
51.6,48.4,Q1 2006,46.1,53.9,79.5,19.9,88.2,11.8,Q1 2010
59.3,40.7,Q2 2006,54.9,45.1,85.3,14.7,87.7,12.3,Q2 2010
59.5,40.4,Q3 2006,56.3,43.6,83.7,15.3,88.1,11.9,Q3 2010
62.3,37.6,Q4 2006,59.2,40.7,82.3,17.0,89.1,10.9,Q4 2010
66.7,33.3,Q1 2007,64.8,35.2,79.9,18.8,91.4,8.6,Q1 2011
66.4,33.6,Q2 2007,64.3,35.7,73.5,26.5,90.3,9.7,Q2 2011
66.3,33.6,Q3 2007,65.4,34.6,74.5,25.5,90.4,9.6,Q3 2011
67.9,31.8,Q4 2007,67.0,32.8,80.2,19.8,90.7,9.3,Q4 2011
71.4,28.3,Q1 2008,69.4,30.3,81.5,18.5,90.6,9.4,Q1 2012
71.7,28.3,Q2 2008,70.1,29.9,81.1,18.9,93.2,6.8,Q2 2012
72.4,27.4,Q3 2008,71.9,28.1,76.7,22.8,93.6,6.4,Q3 2012
72.7,27.2,Q4 2008,72.3,27.6,77.1,22.9,93.8,6.2,Q4 2012
71.5,28.4,Q1 2009,70.0,29.9,81.8,17.5,94.2,5.8,Q1 2013
71.0,28.8,Q2 2009,69.7,30.2,78.6,20.4,95.3,4.7,Q2 2013
70.6,29.3,Q3 2009,69.1,30.8,77.1,22.0,95.1,4.9,Q3 2013
72.2,27.7,Q4 2009,70.8,29.1,76.3,21.3,95.9,4.1,Q4 2013
71.6,28.3,Q1 2010,69.9,30.1,76.5,20.2,96.6,3.4,Q1 2014
72.3,27.7,Q2 2010,70.0,30.0,80.1,17.3,97.1,2.9,Q2 2014
71.5,28.5,Q3 2010,69.1,30.9,78.8,18.0,97.1,2.9,Q3 2014
70.4,29.6,Q4 2010,67.7,32.3,79.7,17.4,97.9,2.1,Q4 2014
70.4,29.6,Q1 2011,67.9,32.1,79.1,18.1,98.1,1.9,Q1 2015
73.1,26.9,Q2 2011,70.8,29.1,81,16.5,98.3,1.7,Q2 2015
73.4,26.6,Q3 2011,71.4,28.5,78.6,18.9,97.6,2.4,Q3 2015
72.2,27.8,Q4 2011,70.4,29.6,77.5,20.1,97.9,2.1,Q4 2015
72.3,27.7,Q1 2012,70.5,29.5,78.5,19.4,97.5,2.5,Q1 2016
73.4,26.5,Q2 2012,71.6,28.3,78.7,19.1,97.8,2.2,Q2 2016
73.8,26.2,Q3 2012,72.1,27.9,79.1,19.1,98.5,1.5,Q3 2016
70.8,29.2,Q4 2012,67.7,32.3,83.4,16.1,98.9,1.1,Q4 2016
72.4,27.5,Q1 2013,67.8,32.2,86.3,13.4,98.6,1.4,Q1 2017
73.6,26.4,Q2 2013,68.3,31.6,87.6,12.1,98.4,1.6,Q2 2017
