date,BCI海岬型貨運指數,BDI乾散貨指數
2009-03-06,,2225.0000
2009-03-13,,2122.0000
2009-03-16,2365.0000,2058.0000
2009-03-17,2251.0000,1974.0000
2009-03-18,2157.0000,1861.0000
2009-03-19,2154.0000,1795.0000
2009-03-20,2197.0000,1782.0000
2009-03-23,2215.0000,1773.0000
2009-03-24,2195.0000,1758.0000
2009-03-25,2169.0000,1740.0000
2009-03-26,2134.0000,1714.0000
2009-03-27,2092.0000,1678.0000
2009-03-30,2078.0000,1646.0000
2009-03-31,2066.0000,1615.0000
2009-04-01,2039.0000,1574.0000
2009-04-02,2001.0000,1538.0000
2009-04-03,1962.0000,1506.0000
2009-04-06,1961.0000,1486.0000
2009-04-07,1972.0000,1466.0000
2009-04-08,1993.0000,1463.0000
2009-04-09,2024.0000,1478.0000
2009-04-10,,1478.0000
2009-04-14,2033.0000,1492.0000
2009-04-15,2077.0000,1534.0000
2009-04-16,2140.0000,1604.0000
2009-04-17,2209.0000,1682.0000
2009-04-20,2285.0000,1737.0000
2009-04-21,2393.0000,1797.0000
2009-04-22,2501.0000,1869.0000
2009-04-23,2539.0000,1897.0000
2009-04-24,2494.0000,1873.0000
2009-04-27,2443.0000,1839.0000
2009-04-28,2364.0000,1790.0000
2009-04-29,2342.0000,1772.0000
2009-04-30,2348.0000,1786.0000
2009-05-01,2376.0000,1806.0000
2009-05-05,2528.0000,1897.0000
2009-05-06,2868.0000,2065.0000
2009-05-07,3046.0000,2194.0000
2009-05-08,2963.0000,2214.0000
2009-05-11,2913.0000,2215.0000
2009-05-12,2988.0000,2253.0000
2009-05-13,3129.0000,2332.0000
2009-05-14,3282.0000,2432.0000
2009-05-15,3481.0000,2544.0000
2009-05-18,3600.0000,2605.0000
2009-05-19,3661.0000,2644.0000
2009-05-20,3767.0000,2665.0000
2009-05-21,3991.0000,2707.0000
2009-05-22,4343.0000,2786.0000
2009-05-26,4797.0000,2942.0000
2009-05-27,5308.0000,3164.0000
2009-05-28,5602.0000,3298.0000
2009-05-29,6125.0000,3494.0000
2009-06-01,6549.0000,3681.0000
2009-06-02,7724.0000,4106.0000
2009-06-03,8147.0000,4291.0000
2009-06-04,7561.0000,4093.0000
2009-06-05,6812.0000,3809.0000
2009-06-08,6523.0000,3646.0000
2009-06-09,6382.0000,3518.0000
2009-06-10,6354.0000,3452.0000
2009-06-11,6465.0000,3483.0000
2009-06-12,6715.0000,3583.0000
2009-06-15,7227.0000,3763.0000
2009-06-16,7648.0000,3951.0000
2009-06-17,7825.0000,4026.0000
2009-06-18,7980.0000,4073.0000
2009-06-19,7996.0000,4070.0000
2009-06-22,7909.0000,4029.0000
2009-06-23,7441.0000,3874.0000
2009-06-24,7115.0000,3751.0000
2009-06-25,7034.0000,3703.0000
2009-06-26,7106.0000,3703.0000
2009-06-29,7216.0000,3734.0000
2009-06-30,7241.0000,3757.0000
2009-07-01,7122.0000,3742.0000
2009-07-02,6848.0000,3672.0000
2009-07-03,6438.0000,3520.0000
2009-07-06,6104.0000,3375.0000
2009-07-07,5667.0000,3216.0000
2009-07-08,5336.0000,3107.0000
2009-07-09,5037.0000,3018.0000
2009-07-10,4844.0000,2985.0000
