date,Freightos-波羅的海貨櫃運價指數[FBX],Freightos-波羅的海貨櫃運價指數[FBX] (週平均)
2016-10-04,1412.6900,
2016-10-05,1381.8900,
2016-10-06,1397.9400,
2016-10-07,1394.2800,1396.7000
2016-10-10,1327.1300,
2016-10-11,1362.6000,
2016-10-12,1362.6000,
2016-10-13,1361.5400,
2016-10-14,1363.1900,1355.4100
2016-10-17,1429.2100,
2016-10-18,1421.2400,
2016-10-19,1420.7200,
2016-10-20,1449.2200,
2016-10-21,1448.1400,1433.7100
2016-10-24,1492.5600,
2016-10-25,1503.8300,
2016-10-26,1502.6900,
2016-10-27,1501.8100,
2016-10-28,1501.8100,1500.5400
2016-10-31,1510.9600,
2016-11-01,1538.4500,
2016-11-02,1611.6500,
2016-11-03,1652.5900,
2016-11-04,1656.4600,1594.0200
2016-11-07,1717.0400,
2016-11-08,1709.7000,
2016-11-09,1707.9500,
2016-11-10,1696.7900,
2016-11-11,1715.4100,1709.3800
2016-11-14,1655.7400,
2016-11-15,1671.8400,
2016-11-16,1633.7500,
2016-11-17,1612.3900,
2016-11-18,1603.5700,1635.4600
2016-11-21,1614.6300,
2016-11-22,1624.6500,
2016-11-23,1581.8300,
2016-11-24,1586.8800,
2016-11-25,1568.1600,1595.2300
2016-11-28,1555.3300,
2016-11-29,1539.3000,
2016-11-30,1545.2800,
2016-12-01,1451.7000,
2016-12-02,1275.4200,1473.4100
2016-12-05,1351.9600,
2016-12-06,1341.5100,
2016-12-07,1342.8300,
2016-12-08,1370.1100,
2016-12-09,1365.4300,1354.3700
2016-12-12,1411.5900,
2016-12-13,1414.4700,
2016-12-14,1418.3000,
2016-12-15,1363.4400,
2016-12-16,1418.9700,1405.3500
2016-12-19,1443.1900,
2016-12-20,1391.3100,
2016-12-21,1384.4700,
2016-12-22,1458.6300,
2016-12-23,1474.9800,1430.5200
2016-12-26,1536.6100,
2016-12-27,1526.0100,
2016-12-28,1516.3400,
2016-12-29,1515.7300,
2016-12-30,1523.2800,1523.5900
2017-01-02,1557.9300,
2017-01-03,1695.5900,
2017-01-04,1707.9000,
2017-01-05,1747.3600,
2017-01-06,1720.8600,1685.9300
2017-01-09,1638.5700,
2017-01-10,1741.5700,
2017-01-11,1710.4000,
2017-01-12,1616.4400,
2017-01-13,1632.3100,1667.8600
2017-01-16,1717.0200,
2017-01-17,1741.7000,
2017-01-18,1728.1100,
2017-01-19,1760.9500,
2017-01-20,1755.4300,1740.6400
2017-01-23,1728.7300,
2017-01-24,1734.9100,
2017-01-25,1725.6300,
2017-01-26,1718.4600,
2017-01-27,1720.8800,1725.7200
2017-01-30,1728.1200,
2017-01-31,1726.3900,
2017-02-01,1682.1900,
2017-02-02,1748.7800,
2017-02-03,1756.0700,1728.3100
2017-02-06,1763.9700,
2017-02-07,1760.4300,
2017-02-08,1731.9700,
2017-02-09,1649.3100,
2017-02-10,1642.5200,1709.6400
2017-02-13,1636.3900,
2017-02-14,1616.3400,
2017-02-15,1592.3500,
2017-02-16,1579.8500,
2017-02-17,1580.0000,1600.9900
2017-02-20,1579.5900,
2017-02-21,1543.9400,
2017-02-22,1535.2300,
2017-02-23,1516.5500,
2017-02-24,1514.0600,1537.8700
2017-02-27,1513.5500,
2017-02-28,1516.5200,
2017-03-01,1498.6200,
2017-03-02,1478.5500,
2017-03-03,1463.5900,1494.1700
2017-03-06,1500.9600,
2017-03-07,1471.3000,
2017-03-08,1464.5800,
2017-03-09,1408.9600,
2017-03-10,1383.6300,1445.8900
2017-03-13,1473.4400,
2017-03-14,1463.6000,
2017-03-15,1457.5900,
2017-03-16,1442.1000,
2017-03-17,1428.8400,1453.1100
2017-03-20,1384.3300,
2017-03-21,1367.9200,
2017-03-22,1334.8200,
2017-03-23,1326.9400,
2017-03-24,1328.9800,1348.6000
2017-03-27,1333.0500,
2017-03-28,1331.5200,
2017-03-29,1323.3400,
2017-03-30,1320.4300,
2017-03-31,1330.0400,1327.6800
2017-04-03,1444.0100,
2017-04-04,1432.4700,
2017-04-05,1403.7500,
2017-04-06,1404.5700,
2017-04-07,1397.1700,1416.3900
2017-04-10,1362.8100,
2017-04-11,1352.6000,
2017-04-12,1345.7900,
2017-04-13,1336.4700,
2017-04-14,1337.0300,1346.9400
2017-04-17,1298.9000,
2017-04-18,1309.7200,
2017-04-19,1308.7600,
2017-04-20,1314.8200,
2017-04-21,1313.6200,1309.1600
2017-04-24,1315.8600,
2017-04-25,1318.3100,
2017-04-26,1312.3200,
2017-04-27,1315.4400,
2017-04-28,1311.0100,1314.5900
2017-05-01,1312.5500,
2017-05-02,1350.4000,
2017-05-03,1355.8300,
2017-05-04,1356.2300,
2017-05-05,1347.5700,1344.5200
2017-05-08,1328.4700,
2017-05-09,1308.3100,
2017-05-10,1306.3300,
2017-05-11,1315.6200,
2017-05-12,1372.7900,1326.3000
2017-05-15,1347.8900,
2017-05-16,1318.9400,
2017-05-17,1380.3600,
2017-05-18,1385.3200,
2017-05-19,1378.3000,1362.1600
2017-05-22,1373.2800,
2017-05-23,1361.9600,
2017-05-24,1354.1200,
2017-05-25,1357.8400,
2017-05-26,1361.2900,1361.7000
2017-05-29,1365.6600,
2017-05-30,1363.6400,
2017-05-31,1365.6800,
2017-06-01,1335.4100,
2017-06-02,1378.0800,1361.6900
2017-06-05,1419.0800,
2017-06-06,1411.8900,
2017-06-07,1427.8000,
2017-06-08,1445.0200,
2017-06-09,1414.4700,1423.6500
2017-06-12,1427.6700,
2017-06-13,1403.3700,
2017-06-14,1398.6300,
2017-06-15,1394.2300,
2017-06-16,1396.2500,1404.0300
2017-06-19,1390.0800,
2017-06-20,1401.3700,
