date,Freightos-波羅的海貨櫃運價指數[FBX01]-亞洲至美西,Freightos-波羅的海貨櫃運價指數[FBX03]-亞洲至美東,Freightos-波羅的海貨櫃運價指數[FBX11]-亞洲至北歐,Freightos-波羅的海貨櫃運價指數[FBX13]-亞洲至地中海,Freightos-波羅的海貨櫃運價指數[FBX22]-北歐至美東,Freightos-波羅的海貨櫃運價指數[FBX]
2016-10-04,1831.5500,2589.1700,1466.5000,1000.0000,1417.0100,1412.6900
2016-10-05,1732.3000,2487.2600,1466.5000,1000.0000,1417.0100,1381.8900
2016-10-06,1717.7500,2606.6700,1466.5000,1131.0400,1417.0100,1397.9400
2016-10-07,1759.0400,2491.6500,1466.5000,1131.0400,1417.0100,1394.2800
2016-10-10,1742.2100,2638.7600,1462.8600,1128.2900,1418.6800,1327.1300
2016-10-11,1719.5100,2685.2900,1462.8600,1061.5800,1418.6800,1362.6000
2016-10-12,1719.5100,2685.2900,1462.8600,1061.5800,1418.6800,1362.6000
2016-10-13,1719.5100,2685.2900,1466.5000,1050.3600,1417.8500,1361.5400
2016-10-14,1719.5100,2685.2900,1466.5000,1050.3600,1447.8500,1363.1900
2016-10-17,1853.0300,2640.7900,1634.4700,1120.2200,1447.8500,1429.2100
2016-10-18,1853.0300,2683.4000,1631.8200,1123.7400,1447.8500,1421.2400
2016-10-19,1873.6400,2617.7200,1635.4300,1123.7400,1447.8500,1420.7200
2016-10-20,1967.3900,2646.3400,1635.4300,1123.7400,1447.8500,1449.2200
2016-10-21,1964.2400,2642.1000,1635.4300,1123.7400,1447.8500,1448.1400
2016-10-24,1964.2400,2642.1000,1782.6000,1200.7300,1447.8500,1492.5600
2016-10-25,1959.4200,2624.5800,1782.6000,1200.7300,1447.8500,1503.8300
2016-10-26,1959.4200,2624.5800,1782.6000,1200.7300,1449.9600,1502.6900
2016-10-27,1954.6900,2625.3500,1782.6000,1200.7300,1449.9600,1501.8100
2016-10-28,1954.6900,2625.3500,1782.6000,1200.7300,1449.9600,1501.8100
2016-10-31,1954.6900,2625.3500,1806.6300,1200.7300,1449.9600,1510.9600
2016-11-01,2040.5500,2693.1300,1228.8500,1300.0000,1553.2600,1538.4500
2016-11-02,2024.1900,2790.8400,1034.1400,1445.0000,1795.4600,1611.6500
2016-11-03,1946.0200,2823.9500,1034.1400,1500.0000,1795.4600,1652.5900
2016-11-04,1942.8700,2823.9500,1034.1400,1550.0000,1795.4600,1656.4600
2016-11-07,1907.5500,2817.8400,1390.6400,1550.0000,1756.1100,1717.0400
2016-11-08,1897.5200,2801.8200,1395.7400,1500.0000,1756.1100,1709.7000
2016-11-09,1888.6200,2792.6800,1395.7400,1506.2800,1756.1100,1707.9500
2016-11-10,1888.6200,2755.7700,1366.8500,1450.0000,1756.1100,1696.7900
2016-11-11,1904.6100,2738.8600,1366.8500,1445.0000,1854.0600,1715.4100
2016-11-14,1907.5500,2714.5300,1367.7800,1400.7300,1851.2800,1655.7400
2016-11-15,1904.4000,2714.0200,1515.7000,1312.2700,1851.2800,1671.8400
2016-11-16,1877.4400,2681.4800,1350.6200,1329.7700,1848.5100,1633.7500
2016-11-17,1872.7100,2660.5400,1350.6200,1417.9100,1797.8600,1612.3900
2016-11-18,1861.6600,2655.7000,1350.6200,1369.6000,1807.3100,1603.5700
2016-11-21,1835.8900,2649.1000,1400.7900,1467.1300,1817.5100,1614.6300
2016-11-22,1816.9400,2626.9300,1370.2000,1651.3300,1829.8200,1624.6500
2016-11-23,1697.3100,2613.7100,1510.7400,1458.7500,1797.0000,1581.8300
2016-11-24,1659.7900,2604.8800,1553.2200,1768.5000,1797.0000,1586.8800
2016-11-25,1648.2800,2633.7300,1517.3900,1656.4600,1797.8600,1568.1600
2016-11-28,1595.5500,2608.0500,1517.3900,1788.8700,1792.3700,1555.3300
2016-11-29,1572.2900,2568.9600,1468.2700,1811.1500,1797.0000,1539.3000
2016-11-30,1569.4600,2561.7200,1468.2700,1812.3700,1891.1900,1545.2800
2016-12-01,1614.2100,2395.1100,1144.6500,1802.2700,1907.8100,1451.7000
2016-12-02,1445.3200,2436.9800,1099.5200,1739.9900,1761.7000,1275.4200
2016-12-05,1445.3200,2425.9400,1532.9300,1766.1500,1761.7000,1351.9600
2016-12-06,1407.3900,2437.4500,1541.1800,1706.8300,1761.7000,1341.5100
2016-12-07,1424.3600,2420.0700,1543.6000,1841.5800,1761.7000,1342.8300
2016-12-08,1432.7100,2411.7000,1641.3600,2064.2400,1633.7800,1370.1100
2016-12-09,1419.6300,2412.5900,1641.3600,2031.3000,1633.7800,1365.4300
2016-12-12,1387.4900,2395.1100,1619.5900,1886.0300,1629.8800,1411.5900
2016-12-13,1389.1600,2390.8300,1609.5800,1935.7700,1629.8800,1414.4700
2016-12-14,1381.1800,2434.0800,1609.5800,1935.7800,1629.8800,1418.3000
2016-12-15,1446.2100,2497.6100,1166.2300,1939.6000,1635.4500,1363.4400
2016-12-16,1492.1200,2494.7200,1396.2800,2021.2800,1635.4500,1418.9700
2016-12-19,1581.7100,2605.3000,1396.2800,2000.4400,1633.9600,1443.1900
2016-12-20,1576.9800,2613.4200,1396.2800,1967.3300,1633.9600,1391.3100
2016-12-21,1567.0700,2602.3500,1396.2800,1954.8300,1598.9100,1384.4700
2016-12-22,1559.6300,2601.5200,1582.6900,1920.8500,1587.0000,1458.6300
2016-12-23,1560.5200,2601.9000,1582.6900,2086.6700,1587.0000,1474.9800
2016-12-26,1546.0000,2606.3100,1822.6100,2329.7900,1580.0500,1536.6100
2016-12-27,1550.4200,2606.3100,1807.6100,2221.1500,1580.0500,1526.0100
2016-12-28,1542.4400,2602.0700,1807.6100,2142.4700,1580.4800,1516.3400
2016-12-29,1558.2200,2613.9700,1807.1500,2138.6500,1580.4800,1515.7300
2016-12-30,1589.2900,2613.9700,1807.1500,2152.5400,1580.4800,1523.2800
2017-01-02,1854.1000,2910.5800,1330.8800,2204.0500,1580.0800,1557.9300
2017-01-03,2080.8900,3081.0500,1845.1400,2114.6500,1580.0800,1695.5900
