Date,SCFI美西,SCFI美東,SCFI歐洲,SCFI綜合,News_ID
2021/7/30,5518,10067,7395,4196.24,
2021/8/6,5555,10167,7418,4225.86,
2021/8/13,5744,10452,7407,4281.53,
2021/8/20,5927,10876,7398,4340.18,
2021/8/27,5949,11138,7365,4385.62,
2021/9/3,6266,11648,7443,4502.65,
2021/9/10,6322,11731,7491,4568.16,
2021/9/17,6322,11759,7524,4622.51,
2021/9/24,6322,11976,7551,4643.79,
2021/10/1,6322,11250,7538,4614.1,
2021/10/8,6371,11114,7714,4647.6,
2021/10/15,6219,10700,7687,4588.07,
2021/10/22,6343,10544,7666,4583.39,
2021/10/29,6414,10454,7693,4567.28,
2021/11/5,6461,10428,7637,4535.92,
