Calendar_Week,Port_ID,categorization,ALL,CONTAINER SHIPS,DRY BREAKBULK,DRY BULK,LNG CARRIERS,LPG CARRIERS,PASSENGER SHIPS,RO/RO,WET BULK,SUPPORTING VESSELS,OTHER MARKETS
2021/21,Felixstowe,Arrive,1.0,1.0,,,,,,,,,
2021/22,Felixstowe,Arrive,1.6,1.5,1.6,,,,,,,,
2021/23,Felixstowe,Arrive,0.2,0.2,,,,,,,,,
2021/24,Felixstowe,Arrive,1.1,1.1,,,,,,,,,
2021/25,Felixstowe,Arrive,0.4,0.4,,,,,,,,,
2021/26,Felixstowe,Arrive,0.7,0.7,,,,,,,,,
2021/27,Felixstowe,Arrive,0.4,0.4,,,,,,,,,
2021/28,Felixstowe,Arrive,1.0,1.0,,,,,,,,,
2021/29,Felixstowe,Arrive,0.6,0.6,,,,,,,,,
2021/30,Felixstowe,Arrive,0.9,0.9,,,,,,,,,
2021/31,Felixstowe,Arrive,0.6,0.6,,,,,,,,,
2021/32,Felixstowe,Arrive,1.6,1.6,,,,,,,,,
2021/33,Felixstowe,Arrive,0.9,1.4,0.2,,,,,,0.6,,
2021/34,Felixstowe,Arrive,5.5,5.5,,,,,,,,,
2021/35,Felixstowe,Arrive,0.8,0.8,,,,,,,,,
2021/21,Felixstowe,Departure,1.1,1.1,,,,,,,,,
2021/22,Felixstowe,Departure,1.4,1.5,0.8,,,,,,,,
2021/23,Felixstowe,Departure,1.3,1.3,1.5,,,,,,,,
2021/24,Felixstowe,Departure,1.1,1.1,1.0,,,,,,,,
2021/25,Felixstowe,Departure,1.6,1.6,,,,,,,,,
2021/26,Felixstowe,Departure,1.6,1.6,,,,,,,,,
2021/27,Felixstowe,Departure,1.3,1.3,,,,,,,,,
2021/28,Felixstowe,Departure,1.9,1.9,0.4,,,,,,,,
2021/29,Felixstowe,Departure,1.8,1.8,,,,,,,,,
2021/30,Felixstowe,Departure,1.4,1.4,,,,,,,0.2,,
2021/31,Felixstowe,Departure,1.8,1.8,,,,,,,,,
2021/32,Felixstowe,Departure,2.2,2.2,,,,,,,,,
2021/33,Felixstowe,Departure,1.5,1.8,0.3,,,,,,0.3,,
2021/34,Felixstowe,Departure,1.9,1.9,,,,,,,,,
2021/35,Felixstowe,Departure,1.9,1.9,,,,,,,,,
2021/21,Hamburg,Arrive,1.8,,0.3,3.6,,,,,2.3,,
