timestamp,discount_item_ratio_cloth,discount_money_cloth,total_num_cloth,soldout_num_cloth,instock_num_cloth,discount_num_cloth,discount_item_ratio_shoes,discount_money_shoes,total_num_shoes,soldout_num_shoes,instock_num_shoes,discount_num_shoes
2021-12-07,19.44,75.52,41074,2575,38499,7483,24.95,85.64,4126,182,3944,984
2021-12-06,23.03,76.56,43621,2612,41009,9444,27.53,86.41,6742,77,6665,1835
2021-12-05,41.61,78.92,34106,2693,31413,13071,32.19,87.43,5921,167,5754,1852
2021-12-04,39.12,78.89,44542,3544,40998,16039,43.32,90.74,4817,96,4721,2045
2021-12-03,40.57,79.23,45701,3257,42444,17221,34.02,89.01,5994,13,5981,2035
2021-12-02,42.76,78.64,40606,2915,37691,16115,38.41,88.59,6791,87,6704,2575
2021-12-01,42.02,83.35,44050,3359,40691,17100,37.4,91.96,5249,11,5238,1959
2021-11-30,42.57,83.9,42274,2956,39318,16739,26.01,91.47,4640,276,4364,1135
2021-11-29,38.08,83.07,42420,4237,38183,14539,40.31,91.07,5337,192,5145,2074
2021-11-28,40.39,83.59,42792,3715,39077,15785,35.01,87.36,5150,43,5107,1788
2021-11-27,38.3,83.58,41271,4855,36416,13948,31.52,89.99,4706,30,4676,1474
2021-11-25,35.51,83.15,41356,4994,36362,12912,29.38,89.35,6278,171,6107,1794
2021-11-24,40.19,83.87,39850,5525,34325,13795,32.36,88.65,4970,140,4830,1563
2021-11-23,34.61,83.24,45190,6116,39074,13524,27.15,90.86,4683,156,4527,1229
2021-11-22,39.02,83.77,39110,4855,34255,13367,18.18,88.47,5587,284,5303,964
2021-11-21,17.37,72.97,39321,3623,35698,6202,5.99,75.91,5823,329,5494,329
2021-11-20,17.44,72.95,44183,4268,39915,6960,5.84,75.37,5940,378,5562,325
2021-11-19,17.18,72.77,49072,8483,40589,6974,9.42,79.85,5648,253,5395,508
2021-11-18,17.11,72.14,44548,4912,39636,6782,11.45,80.9,4805,117,4688,537
2021-11-17,17.57,72.54,48114,4469,43645,7669,20.36,75.08,5462,88,5374,1094
2021-11-12,16.45,71.79,48687,5349,43338,7131,8.07,76.73,7574,80,7494,605
2021-11-11,17.4,71.63,40474,4127,36347,6325,7.47,78.0,6992,110,6882,514
2021-11-10,18.75,72.17,40589,3659,36930,6923,13.41,81.22,4059,264,3795,509
2021-11-09,18.36,72.02,39404,4486,34918,6411,6.31,77.23,4681,638,4043,255
2021-11-08,18.73,71.83,39935,4552,35383,6628,10.3,79.26,4957,635,4322,445
2021-11-07,18.56,71.95,37757,2548,35209,6536,4.49,75.21,4907,475,4432,199
2021-11-06,18.89,72.38,41849,6479,35370,6683,2.96,77.64,4952,360,4592,136
2021-11-05,18.66,73.9,44501,7908,36593,6829,5.77,73.53,5013,404,4609,266
2021-11-04,16.93,74.21,50489,5737,44752,7578,9.27,71.96,6258,291,5967,553
2021-11-03,16.65,74.37,49613,4707,44906,7479,9.61,72.68,6560,474,6086,585
2021-11-02,16.45,73.76,48461,4658,43803,7204,6.39,74.18,5770,452,5318,340
2021-11-01,17.03,72.8,40951,4636,36315,6185,6.07,80.27,6104,338,5766,350
2021-10-31,16.71,72.95,41518,4369,37149,6207,8.18,82.91,5303,365,4938,404
2021-10-30,16.12,72.95,41458,3084,38374,6184,9.14,79.37,5501,274,5227,478
2021-10-29,17.25,73.23,43185,3290,39895,6883,10.85,80.76,6120,166,5954,646
2021-10-28,18.06,72.99,38556,2196,36360,6567,11.54,85.89,5073,227,4846,559
2021-10-27,19.12,73.32,40209,1137,39072,7470,9.18,81.42,5112,145,4967,456
2021-10-26,19.98,74.13,36873,1298,35575,7107,6.09,75.88,5583,262,5321,324
2021-10-25,17.48,74.22,38099,1811,36288,6342,7.81,77.68,5284,395,4889,382
2021-10-24,21.01,74.37,31098,2361,28737,6038,5.17,81.57,4838,293,4545,235
2021-10-23,19.7,74.58,32254,2055,30199,5950,7.42,82.56,4579,306,4273,317
2021-10-22,19.96,73.95,35361,1828,33533,6692,7.76,82.5,4265,269,3996,310
2021-10-21,17.4,73.84,36342,1578,34764,6048,3.41,73.96,4303,289,4014,137
2021-10-20,16.62,73.6,39216,1699,37517,6236,8.52,77.73,4243,265,3978,339
