Product,Shopname,Dealprice,Dealnumber,Timestamp
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-22
Vivo-Nex3,Vivo官方旗艦店,4498,1850,2020-01-22
華為-Mate30,華為官方旗艦店,4299,89000,2020-01-22
華為-Mate30Pro,華為官方旗艦店,5799,80000,2020-01-22
三星-Note10,三星官方旗艦店,6299,1502,2020-01-22
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-22
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1706,2020-01-22
Vivo-Nex3,蘇寧易購官方旗艦店,4498,498,2020-01-22
華為-Mate30,蘇寧易購官方旗艦店,4299,12000,2020-01-22
三星-Note10,蘇寧易購官方旗艦店,6599,288,2020-01-22
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1545,2020-01-22
華為-Mate30,三際數碼官方旗艦店,3999,2084,2020-01-22
華為-Mate30Pro,三際數碼官方旗艦店,7899,1953,2020-01-22
三星-Note10,三際數碼官方旗艦店,6599,25,2020-01-22
三星-Note10-5G,三際數碼官方旗艦店,7999,561,2020-01-22
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-21
Vivo-Nex3,Vivo官方旗艦店,4498,1849,2020-01-21
華為-Mate30,華為官方旗艦店,4299,89000,2020-01-21
華為-Mate30Pro,華為官方旗艦店,6299,80000,2020-01-21
三星-Note10,三星官方旗艦店,6299,1495,2020-01-21
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-21
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1684,2020-01-21
Vivo-Nex3,蘇寧易購官方旗艦店,4498,493,2020-01-21
華為-Mate30,蘇寧易購官方旗艦店,4299,12000,2020-01-21
三星-Note10,蘇寧易購官方旗艦店,6599,285,2020-01-21
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1520,2020-01-21
華為-Mate30,三際數碼官方旗艦店,3999,2075,2020-01-21
華為-Mate30Pro,三際數碼官方旗艦店,7899,1951,2020-01-21
三星-Note10,三際數碼官方旗艦店,6599,24,2020-01-21
三星-Note10-5G,三際數碼官方旗艦店,7999,562,2020-01-21
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-20
Vivo-Nex3,Vivo官方旗艦店,4498,1849,2020-01-20
華為-Mate30,華為官方旗艦店,4299,89000,2020-01-20
華為-Mate30Pro,華為官方旗艦店,6299,80000,2020-01-20
三星-Note10,三星官方旗艦店,6299,1492,2020-01-20
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-20
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1669,2020-01-20
Vivo-Nex3,蘇寧易購官方旗艦店,4498,489,2020-01-20
華為-Mate30,蘇寧易購官方旗艦店,4299,12000,2020-01-20
三星-Note10,蘇寧易購官方旗艦店,6599,283,2020-01-20
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1502,2020-01-20
華為-Mate30,三際數碼官方旗艦店,3999,2066,2020-01-20
華為-Mate30Pro,三際數碼官方旗艦店,7899,1944,2020-01-20
三星-Note10,三際數碼官方旗艦店,6599,24,2020-01-20
三星-Note10-5G,三際數碼官方旗艦店,7999,553,2020-01-20
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-19
Vivo-Nex3,Vivo官方旗艦店,4498,1842,2020-01-19
華為-Mate30,華為官方旗艦店,0,0,2020-01-19
華為-Mate30Pro,華為官方旗艦店,0,0,2020-01-19
三星-Note10,三星官方旗艦店,6299,1487,2020-01-19
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-19
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1649,2020-01-19
Vivo-Nex3,蘇寧易購官方旗艦店,4498,485,2020-01-19
華為-Mate30,蘇寧易購官方旗艦店,4299,12000,2020-01-19
三星-Note10,蘇寧易購官方旗艦店,6599,282,2020-01-19
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1479,2020-01-19
華為-Mate30,三際數碼官方旗艦店,3999,2035,2020-01-19
華為-Mate30Pro,三際數碼官方旗艦店,6899,1906,2020-01-19
三星-Note10,三際數碼官方旗艦店,6599,24,2020-01-19
三星-Note10-5G,三際數碼官方旗艦店,7999,547,2020-01-19
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-18
Vivo-Nex3,Vivo官方旗艦店,4498,1839,2020-01-18
華為-Mate30,華為官方旗艦店,4299,88000,2020-01-18
華為-Mate30Pro,華為官方旗艦店,6299,80000,2020-01-18
三星-Note10,三星官方旗艦店,6299,1481,2020-01-18
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-18
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1633,2020-01-18
Vivo-Nex3,蘇寧易購官方旗艦店,4498,483,2020-01-18
華為-Mate30,蘇寧易購官方旗艦店,4299,12000,2020-01-18
三星-Note10,蘇寧易購官方旗艦店,6599,280,2020-01-18
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1459,2020-01-18
華為-Mate30,三際數碼官方旗艦店,3999,2014,2020-01-18
華為-Mate30Pro,三際數碼官方旗艦店,6899,1884,2020-01-18
三星-Note10,三際數碼官方旗艦店,6599,25,2020-01-18
三星-Note10-5G,三際數碼官方旗艦店,7999,535,2020-01-18
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-17
Vivo-Nex3,Vivo官方旗艦店,4498,1832,2020-01-17
華為-Mate30,華為官方旗艦店,4299,88000,2020-01-17
華為-Mate30Pro,華為官方旗艦店,6299,80000,2020-01-17
三星-Note10,三星官方旗艦店,6299,1471,2020-01-17
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-17
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1616,2020-01-17
Vivo-Nex3,蘇寧易購官方旗艦店,4498,481,2020-01-17
華為-Mate30,蘇寧易購官方旗艦店,4299,12000,2020-01-17
三星-Note10,蘇寧易購官方旗艦店,6599,280,2020-01-17
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1424,2020-01-17
華為-Mate30,三際數碼官方旗艦店,3999,1984,2020-01-17
華為-Mate30Pro,三際數碼官方旗艦店,6899,1856,2020-01-17
