totaldiff,X_axis,Region_name
-18.31,2021-01-04,USA
-18.95,2021-01-05,USA
-19.31,2021-01-06,USA
-19.52,2021-01-07,USA
-18.28,2021-01-08,USA
-15.65,2021-01-09,USA
-15.99,2021-01-10,USA
-18.44,2021-01-11,USA
-18.75,2021-01-12,USA
-18.82,2021-01-13,USA
-18.43,2021-01-14,USA
-15.97,2021-01-15,USA
-14.76,2021-01-16,USA
-14.67,2021-01-17,USA
-19.53,2021-01-18,USA
-18.32,2021-01-19,USA
-19.29,2021-01-20,USA
-18.81,2021-01-21,USA
-17.7,2021-01-22,USA
-14.17,2021-01-23,USA
-15.18,2021-01-24,USA
-17.68,2021-01-25,USA
-15.83,2021-01-26,USA
-16.9,2021-01-27,USA
-16.75,2021-01-28,USA
-15.36,2021-01-29,USA
-9.55,2021-01-30,USA
-5.01,2021-01-31,USA
-8.19,2021-02-01,USA
-15.73,2021-02-02,USA
-14.01,2021-02-03,USA
-12.44,2021-02-04,USA
-11.39,2021-02-05,USA
-6.09,2021-02-06,USA
-8.31,2021-02-07,USA
-12.14,2021-02-08,USA
-14.35,2021-02-09,USA
-13.78,2021-02-10,USA
-13.29,2021-02-11,USA
-12.62,2021-02-12,USA
-3.44,2021-02-13,USA
3.59,2021-02-14,USA
-9.17,2021-02-15,USA
-9.16,2021-02-16,USA
-8.83,2021-02-17,USA
-9.29,2021-02-18,USA
-11.32,2021-02-19,USA
-3.88,2021-02-20,USA
-2.78,2021-02-21,USA
-9.83,2021-02-22,USA
-10.97,2021-02-23,USA
-10.9,2021-02-24,USA
-10.88,2021-02-25,USA
-8.44,2021-02-26,USA
-2.47,2021-02-27,USA
-2.1,2021-02-28,USA
-10.2,2021-03-01,USA
-11.62,2021-03-02,USA
-11.29,2021-03-03,USA
-11.28,2021-03-04,USA
-8.14,2021-03-05,USA
-1.64,2021-03-06,USA
-1.71,2021-03-07,USA
-10.01,2021-03-08,USA
-11.04,2021-03-09,USA
-11.73,2021-03-10,USA
-10.76,2021-03-11,USA
-7.38,2021-03-12,USA
-0.02,2021-03-13,USA
1.65,2021-03-14,USA
-9.47,2021-03-15,USA
-11.61,2021-03-16,USA
-10.92,2021-03-17,USA
-10.23,2021-03-18,USA
-7.56,2021-03-19,USA
0.67,2021-03-20,USA
1.83,2021-03-21,USA
-8.46,2021-03-22,USA
-10.21,2021-03-23,USA
-9.73,2021-03-24,USA
-10.1,2021-03-25,USA
-6.35,2021-03-26,USA
1.73,2021-03-27,USA
-0.29,2021-03-28,USA
-9.54,2021-03-29,USA
-6.5,2021-01-04,CHN
-5.19,2021-01-05,CHN
-5.33,2021-01-06,CHN
-5.07,2021-01-07,CHN
-4.22,2021-01-08,CHN
-9.95,2021-01-09,CHN
-12.04,2021-01-10,CHN
-6.01,2021-01-11,CHN
-5.52,2021-01-12,CHN
-7.15,2021-01-13,CHN
-7.93,2021-01-14,CHN
-6.53,2021-01-15,CHN
-9.46,2021-01-16,CHN
-12.43,2021-01-17,CHN
-8.3,2021-01-18,CHN
-7.51,2021-01-19,CHN
-8.52,2021-01-20,CHN
-8.59,2021-01-21,CHN
-6.85,2021-01-22,CHN
-11.31,2021-01-23,CHN
-13.86,2021-01-24,CHN
-8.37,2021-01-25,CHN
-7.77,2021-01-26,CHN
-9.83,2021-01-27,CHN
-10.24,2021-01-28,CHN
-9.79,2021-01-29,CHN
-12.19,2021-01-30,CHN
-13.71,2021-01-31,CHN
-10.77,2021-02-01,CHN
-10.93,2021-02-02,CHN
-11.36,2021-02-03,CHN
-11.54,2021-02-04,CHN
-11.24,2021-02-05,CHN
-13.0,2021-02-06,CHN
-9.29,2021-02-07,CHN
-14.57,2021-02-08,CHN
-15.82,2021-02-09,CHN
-18.67,2021-02-10,CHN
-24.6,2021-02-11,CHN
-22.57,2021-02-12,CHN
-21.62,2021-02-13,CHN
-21.27,2021-02-14,CHN
-23.38,2021-02-15,CHN
-23.37,2021-02-16,CHN
-22.3,2021-02-17,CHN
-20.03,2021-02-18,CHN
-18.46,2021-02-19,CHN
-14.44,2021-02-20,CHN
-14.52,2021-02-21,CHN
-12.45,2021-02-22,CHN
-11.48,2021-02-23,CHN
-11.19,2021-02-24,CHN
-8.75,2021-02-25,CHN
-5.95,2021-02-26,CHN
-9.19,2021-02-27,CHN
-7.86,2021-02-28,CHN
-4.74,2021-03-01,CHN
-6.0,2021-03-02,CHN
-6.24,2021-03-03,CHN
-5.8,2021-03-04,CHN
-3.89,2021-03-05,CHN
-5.39,2021-03-06,CHN
-6.76,2021-03-07,CHN
-3.94,2021-03-08,CHN
-5.41,2021-03-09,CHN
-5.41,2021-03-10,CHN
-4.2,2021-03-11,CHN
-3.17,2021-03-12,CHN
-3.37,2021-03-13,CHN
-3.63,2021-03-14,CHN
-4.54,2021-03-15,CHN
-3.02,2021-03-16,CHN
-3.95,2021-03-17,CHN
-4.5,2021-03-18,CHN
0.0,2021-03-19,CHN
-2.87,2021-03-20,CHN
-4.25,2021-03-21,CHN
-4.52,2021-03-22,CHN
-3.63,2021-03-23,CHN
-4.31,2021-03-24,CHN
-4.18,2021-03-25,CHN
-1.09,2021-03-26,CHN
-3.0,2021-03-27,CHN
-5.23,2021-03-28,CHN
-4.37,2021-03-29,CHN
-3.5,2021-03-30,CHN
-14.08,2021-01-04,EU
-15.17,2021-01-05,EU
-16.72,2021-01-06,EU
-14.4,2021-01-07,EU
-11.08,2021-01-08,EU
3.18,2021-01-09,EU
-2.15,2021-01-10,EU
-8.96,2021-01-11,EU
-8.23,2021-01-12,EU
-9.08,2021-01-13,EU
-8.53,2021-01-14,EU
-9.39,2021-01-15,EU
-4.88,2021-01-16,EU
-5.76,2021-01-17,EU
-8.41,2021-01-18,EU
-9.91,2021-01-19,EU
-10.68,2021-01-20,EU
-10.32,2021-01-21,EU
-10.77,2021-01-22,EU
-8.46,2021-01-23,EU
-10.47,2021-01-24,EU
-6.98,2021-01-25,EU
-9.25,2021-01-26,EU
-8.88,2021-01-27,EU
-8.16,2021-01-28,EU
-8.46,2021-01-29,EU
-5.59,2021-01-30,EU
-8.44,2021-01-31,EU
-8.93,2021-02-01,EU
-9.24,2021-02-02,EU
-8.56,2021-02-03,EU
-10.29,2021-02-04,EU
-9.33,2021-02-05,EU
-5.03,2021-02-06,EU
-4.36,2021-02-07,EU
-4.76,2021-02-08,EU
-8.32,2021-02-09,EU
-7.5,2021-02-10,EU
-7.76,2021-02-11,EU
-8.28,2021-02-12,EU
-3.68,2021-02-13,EU
-7.99,2021-02-14,EU
-7.63,2021-02-15,EU
-9.16,2021-02-16,EU
-9.6,2021-02-17,EU
-9.62,2021-02-18,EU
-8.99,2021-02-19,EU
-3.22,2021-02-20,EU
-3.68,2021-02-21,EU
-8.79,2021-02-22,EU
-8.87,2021-02-23,EU
-8.41,2021-02-24,EU
-8.59,2021-02-25,EU
-6.03,2021-02-26,EU
-1.79,2021-02-27,EU
-3.8,2021-02-28,EU
-6.95,2021-03-01,EU
-7.83,2021-03-02,EU
-7.62,2021-03-03,EU
-7.88,2021-03-04,EU
-6.91,2021-03-05,EU
-4.13,2021-03-06,EU
-6.6,2021-03-07,EU
-6.08,2021-03-08,EU
-6.17,2021-03-09,EU
-6.97,2021-03-10,EU
-5.74,2021-03-11,EU
-5.49,2021-03-12,EU
-3.24,2021-03-13,EU
-6.61,2021-03-14,EU
-5.13,2021-03-15,EU
-6.28,2021-03-16,EU
-6.21,2021-03-17,EU
-7.19,2021-03-18,EU
-4.76,2021-03-19,EU
-8.07,2021-03-20,EU
-11.43,2021-03-21,EU
-8.08,2021-03-22,EU
-8.32,2021-03-23,EU
-7.98,2021-03-24,EU
-7.44,2021-03-25,EU
-7.09,2021-03-26,EU
-6.93,2021-03-27,EU
-10.39,2021-03-28,EU
-8.35,2021-03-29,EU
