totaldiff,X_axis
-9.4,2019-12-30
-13.95,2019-12-31
-21.52,2020-01-01
-11.57,2020-01-02
-10.18,2020-01-03
-3.81,2020-01-04
-3.94,2020-01-05
-5.68,2020-01-06
-1.07,2020-01-07
0.56,2020-01-08
0.81,2020-01-09
0.56,2020-01-10
0.64,2020-01-11
-1.67,2020-01-12
4.72,2020-01-13
4.18,2020-01-14
4.28,2020-01-15
3.24,2020-01-16
1.95,2020-01-17
2.61,2020-01-18
-0.72,2020-01-19
3.54,2020-01-20
4.7,2020-01-21
2.35,2020-01-22
0.83,2020-01-23
1.45,2020-01-24
0.26,2020-01-25
-1.2,2020-01-26
4.26,2020-01-27
2.54,2020-01-28
0.21,2020-01-29
0.91,2020-01-30
-1.19,2020-01-31
1.08,2020-02-01
-1.07,2020-02-02
1.19,2020-02-03
-0.23,2020-02-04
-1.2,2020-02-05
-0.35,2020-02-06
-1.12,2020-02-07
-1.17,2020-02-08
-5.66,2020-02-09
0.37,2020-02-10
0.27,2020-02-11
-1.22,2020-02-12
1.32,2020-02-13
0.86,2020-02-14
-0.34,2020-02-15
-2.16,2020-02-16
-0.14,2020-02-17
-1.62,2020-02-18
-0.97,2020-02-19
-0.81,2020-02-20
-1.4,2020-02-21
-1.12,2020-02-22
-2.67,2020-02-23
0.61,2020-02-24
0.42,2020-02-25
0.41,2020-02-26
0.88,2020-02-27
-0.63,2020-02-28
-0.36,2020-02-29
-1.86,2020-03-01
1.53,2020-03-02
0.41,2020-03-03
-0.23,2020-03-04
1.73,2020-03-05
-1.92,2020-03-06
-2.43,2020-03-07
-3.65,2020-03-08
-1.7,2020-03-09
-2.63,2020-03-10
-5.21,2020-03-11
-6.27,2020-03-12
-9.25,2020-03-13
-11.68,2020-03-14
-14.95,2020-03-15
-10.26,2020-03-16
-16.22,2020-03-17
-17.26,2020-03-18
-17.36,2020-03-19
-18.34,2020-03-20
-18.29,2020-03-21
-20.37,2020-03-22
-19.67,2020-03-23
-20.97,2020-03-24
-20.82,2020-03-25
-21.61,2020-03-26
-21.08,2020-03-27
-19.99,2020-03-28
-21.87,2020-03-29
-21.24,2020-03-30
-21.38,2020-03-31
-21.6,2020-04-01
-21.54,2020-04-02
-21.11,2020-04-03
-19.95,2020-04-04
-20.96,2020-04-05
-20.54,2020-04-06
-20.48,2020-04-07
-20.48,2020-04-08
-20.38,2020-04-09
-23.62,2020-04-10
-19.39,2020-04-11
-20.6,2020-04-12
-24.91,2020-04-13
-20.12,2020-04-14
-20.18,2020-04-15
-20.23,2020-04-16
-19.81,2020-04-17
-18.37,2020-04-18
-19.5,2020-04-19
-19.4,2020-04-20
-19.28,2020-04-21
-19.39,2020-04-22
-19.15,2020-04-23
-18.82,2020-04-24
-17.8,2020-04-25
-18.81,2020-04-26
-18.35,2020-04-27
-18.29,2020-04-28
-18.6,2020-04-29
-18.13,2020-04-30
-22.84,2020-05-01
-16.08,2020-05-02
-18.76,2020-05-03
-17.17,2020-05-04
-17.75,2020-05-05
-17.36,2020-05-06
-17.85,2020-05-07
-19.43,2020-05-08
-15.23,2020-05-09
-16.92,2020-05-10
-14.99,2020-05-11
-15.76,2020-05-12
-15.8,2020-05-13
-15.31,2020-05-14
-14.49,2020-05-15
-13.13,2020-05-16
-14.21,2020-05-17
-12.98,2020-05-18
-14.61,2020-05-19
-13.84,2020-05-20
-20.95,2020-05-21
-15.81,2020-05-22
-13.06,2020-05-23
-14.97,2020-05-24
-15.11,2020-05-25
-13.81,2020-05-26
-13.54,2020-05-27
-13.48,2020-05-28
-10.9,2020-05-29
-10.29,2020-05-30
-12.74,2020-05-31
-18.24,2020-06-01
-11.29,2020-06-02
-10.93,2020-06-03
-10.68,2020-06-04
-10.78,2020-06-05
-9.01,2020-06-06
-11.12,2020-06-07
-11.34,2020-06-08
-10.9,2020-06-09
-10.39,2020-06-10
-8.37,2020-06-12
-7.22,2020-06-13
-8.88,2020-06-14
-8.76,2020-06-15
-8.89,2020-06-16
-8.87,2020-06-17
-9.03,2020-06-18
-8.7,2020-06-19
-6.33,2020-06-20
-8.21,2020-06-21
-8.58,2020-06-22
-8.04,2020-06-23
-8.77,2020-06-24
-8.27,2020-06-25
-5.74,2020-06-26
-6.4,2020-06-27
-7.97,2020-06-28
-8.13,2020-06-29
-7.38,2020-06-30
-6.24,2020-07-01
-6.67,2020-07-02
-5.79,2020-07-03
-5.43,2020-07-04
-8.35,2020-07-05
-7.44,2020-07-06
-7.4,2020-07-07
-8.04,2020-07-08
-7.71,2020-07-09
-6.54,2020-07-10
-6.32,2020-07-11
-9.86,2020-07-12
-11.56,2020-07-13
-12.62,2020-07-14
-8.62,2020-07-15
-8.77,2020-07-16
-7.44,2020-07-17
-6.89,2020-07-18
-9.65,2020-07-19
-9.29,2020-07-20
-10.26,2020-07-21
-9.54,2020-07-22
-8.26,2020-07-23
-7.97,2020-07-24
-8.06,2020-07-25
-9.5,2020-07-26
-10.19,2020-07-27
-10.1,2020-07-28
-9.32,2020-07-29
-9.09,2020-07-30
-10.17,2020-07-31
-7.56,2020-08-01
-9.7,2020-08-02
-10.84,2020-08-03
-11.67,2020-08-04
-11.54,2020-08-05
-12.17,2020-08-06
-12.06,2020-08-07
-10.93,2020-08-08
-12.73,2020-08-09
-12.38,2020-08-10
-13.2,2020-08-11
-13.61,2020-08-12
-12.71,2020-08-13
-10.86,2020-08-14
-12.02,2020-08-15
-11.8,2020-08-16
-12.14,2020-08-17
-12.21,2020-08-18
-11.74,2020-08-19
-12.55,2020-08-20
-11.2,2020-08-21
-9.11,2020-08-22
-9.89,2020-08-23
-10.46,2020-08-24
-10.17,2020-08-25
-9.43,2020-08-26
-8.75,2020-08-27
-6.6,2020-08-28
-5.0,2020-08-29
-6.03,2020-08-30
-8.95,2020-08-31
-7.19,2020-09-01
-5.8,2020-09-02
-5.51,2020-09-03
-3.9,2020-09-04
