date,price
2016-11-03,109.99
2016-11-24,99.99
2016-11-30,113.5
2016-12-01,99.99
2016-12-02,113.5
2016-12-03,99.99
2016-12-05,109.99
2016-12-06,113.5
2016-12-07,109.99
2016-12-08,113.5
2016-12-11,109.99
2017-02-10,104.99
2017-02-23,109.99
2017-02-28,99.99
2017-03-17,109.99
2017-03-19,102.99
2017-03-23,109.99
2017-03-26,99.99
2017-04-02,107.99
2017-04-04,99.99
2017-04-05,102.99
2017-04-06,109.99
2017-04-08,107.99
2017-04-13,99.99
2017-04-28,107.99
2017-04-30,104.99
2017-05-01,99.99
2017-05-18,97.99
2017-05-19,99.99
2017-05-22,97.99
2017-05-24,99.99
2017-05-25,104.99
2017-05-26,99.99
2017-06-11,109.99
2017-06-12,99.99
2017-06-21,103.99
2017-07-04,107.99
2017-07-07,109.99
2017-07-15,104.99
2017-07-16,99.99
2017-07-19,104.99
2017-07-24,114.99
2017-07-31,109.99
2017-08-04,104.99
2017-08-10,109.99
2017-08-11,104.99
2017-08-19,109.99
2017-08-22,113.99
2017-08-26,119.99
2017-09-08,118.99
2017-09-09,109.99
2017-09-11,119.99
2017-09-21,114.99
2017-09-29,119.99
2017-10-29,109.99
2017-11-03,119.99
2017-11-20,114.99
2017-11-24,119.99
2017-11-30,99.99
2017-12-01,119.99
2017-12-12,109.99
2017-12-16,119.99
2017-12-23,113.82
2018-01-04,129.99
2018-01-05,119.99
2018-01-06,122.99
2018-01-08,139.99
2018-01-11,119.99
2018-01-12,139.99
2018-01-14,129.99
2018-01-18,123.6
2018-02-01,134.99
2018-02-05,139.99
2018-02-06,149.99
2018-02-09,139.99
2018-02-13,149.99
2018-02-24,139.99
2018-02-28,149.99
2018-03-02,154.99
2018-03-08,149.99
2018-03-09,139.99
2018-03-14,149.99
2018-03-16,154.99
2018-03-23,149.99
2018-03-25,144.99
2018-03-30,164.99
2018-04-01,169.99
2018-04-02,154.99
2018-04-10,169.99
2018-04-11,164.99
2018-04-14,159.99
2018-04-19,149.99
2018-04-20,159.87
2018-04-22,149.99
2018-04-27,144.99
2018-05-02,149.99
2018-05-27,139.99
2018-06-06,149.99
2018-06-08,139.99
2018-07-27,129.99
2018-08-02,124.99
2018-08-10,129.99
2018-09-19,136.99
2018-09-23,133.75
2018-09-26,129.99
2018-09-30,136.99
2018-10-27,129.99
2018-10-28,119.99
2018-11-03,129.99
2018-11-05,124.99
2018-12-04,119.99
2018-12-29,124.99
2019-01-03,109.99
2019-01-04,124.99
2019-01-06,129.99
2019-01-07,119.99
2019-01-12,124.99
2019-02-07,129.99
2019-02-27,119.99
2019-03-01,129.99
2019-03-03,139.99
2019-03-10,129.99
2019-03-16,139.99
2019-03-19,129.99
2019-03-20,139.99
2019-03-22,129.99
2019-03-23,139.99
2019-04-02,129.99
2019-04-03,136.99
2019-04-17,129.99
2019-05-15,126.38
2019-05-24,129.99
2019-05-27,139.99
2019-06-01,129.99
2019-06-07,139.99
2019-08-06,144.99
2019-08-12,129.99
2019-08-17,144.99
2019-08-18,129.99
2019-09-23,144.99
2019-09-27,143.48
2019-10-02,144.99
2019-10-07,159.99
2019-11-09,144.99
2019-12-09,159.99
2020-03-14,85.99
2020-03-17,143.67
2020-04-30,158.49
2020-05-04,159.99
2020-05-07,154.25
2020-06-29,159.99
2020-07-19,157.56
2020-07-31,159.99
2020-10-16,159.45
2020-10-17,127.6
2020-11-12,159.45
2020-11-13,157.56
2020-12-05,159.45
2020-12-18,159.99
2021-05-14,199.99
2021-05-15,395.5
2021-05-16,199.99
2021-05-17,159.99
2021-05-20,189.99
