date,price
2017-03-11,699.99
2017-03-12,699.99
2017-03-14,728.14
2017-03-17,859.99
2017-03-18,839.99
2017-03-19,859.99
2017-03-27,828.99
2017-03-29,699.99
2017-04-01,795.99
2017-04-02,709.99
2017-04-04,699.99
2017-04-26,688.95
2017-04-27,699.99
2017-04-28,693.14
2017-04-29,675.99
2017-05-03,675.75
2017-05-04,689.99
2017-05-05,699.99
2017-05-11,699.89
2017-05-13,699.99
2017-05-17,679.89
2017-05-23,699.99
2017-06-08,679.89
2017-06-11,679.99
2017-06-15,699.99
2017-06-16,699.99
2017-06-17,689.99
2017-06-18,734.93
2017-06-19,699.99
2017-06-24,779.99
2017-06-26,719.99
2017-06-27,779.99
2017-06-28,719.99
2017-06-30,699.99
2017-07-07,749.89
2017-07-10,699.99
2017-07-12,749.99
2017-07-13,759.99
2017-07-15,719.99
2017-07-16,799.99
2017-07-18,759.99
2017-07-27,779.89
2017-07-31,769.99
2017-08-05,709.99
2017-08-06,709.99
2017-08-07,769.99
2017-08-09,729.99
2017-08-10,699.99
2017-08-13,739.99
2017-08-15,749.99
2017-08-19,719.99
2017-08-21,699.99
2017-08-25,769.99
2017-08-26,719.99
2017-08-27,759.99
2017-08-28,749.99
2017-08-30,759.99
2017-08-31,794.89
2017-09-02,769.99
2017-09-03,794.89
2017-09-04,759.99
2017-09-05,794.89
2017-09-06,799.49
2017-09-07,759.99
2017-09-08,759.99
2017-09-09,729.99
2017-09-10,759.99
2017-09-14,739.99
2017-09-17,739.99
2017-09-20,749.99
2017-09-21,709.99
2017-09-22,799.99
2017-09-23,739.99
2017-09-24,799.99
2017-09-29,759.89
2017-09-30,799.99
2017-10-01,759.99
2017-10-02,799.99
2017-10-06,749.89
2017-10-07,769.99
2017-10-09,749.89
2017-10-10,769.99
2017-10-11,749.89
2017-10-12,744.99
2017-10-14,744.99
2017-10-17,799.99
2017-10-18,839.99
2017-10-19,739.99
2017-10-20,769.99
2017-10-21,799.99
2017-10-24,719.99
2017-10-25,759.99
2017-11-07,769.99
2017-11-08,759.99
2017-11-09,769.99
2017-11-10,793.69
2017-11-11,769.99
2017-11-15,699.99
2017-11-17,719.99
2017-11-23,709.99
2017-11-24,799.49
2017-11-26,749.99
2017-11-27,799.49
2017-11-29,798.98
2017-11-30,749.99
2017-12-08,769.99
2017-12-10,739.99
2017-12-12,702.49
2017-12-13,739.99
2017-12-14,719.99
2017-12-15,729.99
2017-12-16,779.89
2017-12-17,758.12
2017-12-18,758.2
2017-12-19,758.22
2017-12-22,701.43
2017-12-26,799.99
2017-12-27,819.99
2017-12-28,779.99
2017-12-29,819.99
2017-12-30,799.99
2018-01-02,784.99
2018-01-03,769.99
2018-01-04,829.99
2018-01-05,849.99
2018-01-08,729.99
2018-01-09,1294.79
2018-01-11,1299.9
2018-01-12,1009.72
2018-01-13,1289.99
2018-01-14,1293.59
2018-01-16,1249.99
2018-01-17,1099.99
2018-01-18,999.99
2018-01-19,1179.99
2018-01-21,739.99
2018-01-23,1099.99
2018-01-28,949.99
2018-01-30,1161.67
2018-01-31,1155.83
2018-02-02,1029.99
2018-02-06,919.99
2018-02-07,1084.42
2018-02-08,1079.43
2018-02-09,999.99
2018-02-10,849.99
2018-02-12,899.99
2018-02-15,979.99
2018-02-16,1043.99
2018-02-18,1068.95
2018-02-20,1099.94
2018-02-21,999.99
2018-02-23,909.99
2018-02-24,979.99
2018-02-25,969.99
2018-02-26,999.99
2018-02-27,1049.99
2018-02-28,999.99
2018-03-02,1120.79
2018-03-03,1085.42
2018-03-05,849.99
2018-03-06,1085.42
2018-03-08,959.99
2018-03-09,999.99
2018-03-10,1093.99
2018-03-11,959.99
2018-03-12,1071.06
2018-03-13,1087.42
2018-03-14,939.99
2018-03-15,979.99
2018-03-16,999.99
2018-03-17,959.99
2018-03-18,979.99
2018-03-21,972.04
2018-03-23,999.99
2018-03-24,959.99
2018-03-25,979.99
2018-03-26,999.99
2018-03-28,909.99
2018-03-31,909.99
2018-04-03,999.89
2018-04-05,985.31
2018-04-06,998.81
2018-04-07,929.99
2018-04-10,1000.83
2018-04-11,1049.89
2018-04-12,998.81
2018-04-13,976.27
2018-04-14,949.99
2018-04-15,999.89
2018-04-16,1049.89
2018-04-17,1069.89
2018-04-18,1079.89
2018-04-19,999.99
2018-04-20,949.99
2018-04-22,945.89
2018-04-25,999.99
2018-04-26,979.99
2018-04-27,945.89
2018-04-28,979.99
2018-05-01,949.04
2018-05-02,999.99
2018-05-03,936.54
2018-05-04,919.88
2018-05-05,919.99
2018-05-06,979.99
2018-05-07,919.99
2018-05-08,976.61
2018-05-09,919.99
2018-05-10,899.99
2018-05-11,779.99
2018-05-15,939.99
2018-05-16,899.99
2018-05-17,899.89
2018-05-18,789.99
2018-05-19,769.99
2018-05-20,849.99
2018-05-25,799.99
2018-05-26,749.99
2018-05-30,849.99
2018-05-31,831.39
2018-06-02,799.99
2018-06-07,749.99
2018-06-08,789.99
2018-06-09,749.99
2018-06-11,798.99
2018-06-12,749.99
2018-06-15,799.9
2018-06-17,719.99
2018-06-20,799.99
2018-06-24,719.99
2018-06-25,798.99
2018-06-26,799.99
2018-06-27,729.99
2018-07-01,766.1
2018-07-03,799.99
2018-07-04,749.99
2018-07-05,799.39
2018-07-06,799.99
2018-07-08,798.99
2018-07-12,749.99
2018-07-13,769.99
2018-07-14,719.99
2018-07-16,789.99
2018-07-17,798.99
2018-07-18,789.99
2018-07-19,786.6
2018-07-23,751.46
2018-07-27,749.99
2018-07-28,719.99
2018-07-29,699.99
2018-08-02,719.99
2018-08-03,689.99
2018-08-04,694.99
2018-08-08,679.99
2018-08-09,679.99
2018-08-10,669.99
2018-08-11,659.99
2018-08-14,649.99
2018-08-17,649.99
2018-08-18,659.99
2018-08-26,669.99
2018-08-27,629.99
2018-08-28,649.99
2018-08-30,669.99
2018-08-31,649.99
2018-09-02,699.99
2018-09-03,599.99
2018-09-04,716.37
2018-09-05,719.99
2018-09-06,649.99
2018-09-07,679.99
2018-09-09,619.99
2018-09-13,629.99
2018-09-15,649.99
2018-09-16,649.99
2018-09-17,679.99
2018-09-18,674.99
2018-09-20,679.99
2018-09-21,649.99
2018-09-22,679.99
2018-09-23,649.99
2018-09-25,679.99
2018-09-26,649.99
2018-09-27,689.99
2018-09-28,679.99
2018-10-01,689.99
2018-10-02,693.22
2018-10-04,679.99
2018-10-06,669.99
2018-10-08,699.99
2018-10-11,759.99
2018-10-12,679.99
2018-10-14,759.99
2018-10-17,699.99
2018-10-21,759.99
2018-10-27,679.99
2018-10-28,699.99
2018-10-29,709.99
2018-11-03,729.99
2018-11-06,759.99
2018-11-07,939.99
2018-11-19,826.98
2018-11-21,779.99
2018-11-25,827.01
2018-11-27,861.82
2018-12-06,1079.99
2019-01-02,849.99
2019-01-15,769.99
2019-01-25,759.99
2019-01-26,899.99
2019-02-02,779.89
2019-04-19,799.99
2019-05-16,869.99
2019-06-07,899.99
2019-06-09,699.99
2019-06-21,869.99
2019-08-17,489.99
2019-08-31,809.99
2019-10-22,949.99
2020-02-05,899.99
2020-02-09,1011.15
2020-02-10,1013.48
2020-02-12,1013.46
2020-02-13,1012.97
2020-03-11,599.99
2020-03-14,499.99
2020-04-03,800.08
2021-05-13,1099.99
2021-05-20,1199.99
2021-05-22,1149.99
2021-05-25,1099.99
2021-06-06,1199.99
2021-06-10,1029.99
2021-06-12,1024.99
2021-06-17,1009.99
2021-09-09,870.85
2021-11-20,822.67
