date,price
2019-11-03,229.99
2019-12-11,249.99
2019-12-12,229.99
2019-12-27,239.99
2019-12-28,229.99
2020-03-10,219.99
2020-03-16,205.68
2020-03-17,219.99
2020-03-18,219.99
2020-03-20,229.99
2020-03-24,219.99
2020-03-25,209.99
2020-03-28,229.99
2020-03-31,229.99
2020-04-08,219.99
2020-04-09,229.99
2020-04-12,224.99
2020-04-19,229.99
2020-04-20,239.99
2020-04-21,224.99
2020-04-22,229.99
2020-04-25,239.99
2020-04-26,229.99
2020-05-12,224.99
2020-05-17,229.99
2020-05-22,229.98
2020-06-02,249.84
2020-06-04,239.99
2020-06-05,229.99
2020-06-06,249.84
2020-06-07,239.99
2020-06-13,229.99
2020-06-18,239.99
2020-06-19,229.99
2020-06-30,217.98
2020-07-01,229.99
2020-08-06,239.99
2020-08-12,229.99
2020-08-16,209.99
2020-08-18,229.99
2020-08-21,239.99
2020-08-22,234.99
2020-08-23,229.99
2020-08-24,229.99
2020-08-29,224.99
2020-08-31,224.89
2020-09-01,224.99
2020-09-03,229.99
2020-09-04,224.99
2020-09-05,227.98
2020-09-06,229.99
2020-09-08,229.83
2020-09-09,229.99
2020-09-11,239.99
2020-09-13,227.98
2020-09-14,229.99
2020-09-21,229.99
2020-09-25,228.21
2020-09-26,226.94
2020-09-27,229.99
2020-09-28,226.87
2020-09-29,227.07
2020-09-30,229.99
2020-10-02,228.99
2020-10-03,229.99
2020-10-05,239.99
2020-10-06,229.47
2020-10-07,229.99
2020-10-08,229.09
2020-10-09,239.99
2020-10-11,229.09
2020-10-12,229.99
2020-10-14,229.99
2020-10-15,239.99
2020-10-16,239.99
2020-10-22,229.99
2020-10-23,239.99
2020-10-29,229.99
2020-10-31,209.99
2020-11-01,229.99
2020-11-02,219.99
2020-11-05,229.99
2020-11-06,239.99
2020-11-12,229.99
2020-11-15,239.99
2020-11-23,229.99
2020-11-24,239.99
2020-11-25,239.99
2020-11-27,228.1
2020-12-09,239.99
2021-01-01,249.99
2021-01-05,244.99
2021-01-07,249.99
2021-03-25,249.99
2021-03-26,239.99
2021-05-18,249.99
2021-05-19,239.99
2021-05-25,329.99
2021-06-06,605.33
2021-06-07,650.49
2021-06-10,559.99
2021-06-11,619.99
2021-06-13,559.99
2021-07-03,525.78
2021-07-10,459.99
2021-07-13,499.99
2021-07-21,590.98
2021-08-28,499.99
2021-08-29,649.6
2021-09-01,629.99
2021-09-05,237.74
2021-09-09,574.96
2021-10-03,545.15
2021-10-08,542.04
2021-10-09,544.02
2021-10-10,539.21
2021-10-11,537.9
2021-10-13,539.65
2021-10-14,549.94
2021-10-16,549.99
2021-10-22,547.72
2021-10-24,547.69
2021-10-30,547.96
2021-10-31,547.72
2021-11-01,547.84
