date,price
2019-09-13,719.99
2019-09-23,699.99
2019-11-15,709.99
2019-11-18,689.99
2019-11-20,719.99
2019-11-21,689.99
2019-11-24,719.99
2019-11-27,699.99
2019-12-03,689.99
2019-12-06,699.99
2020-01-05,709.99
2020-01-07,699.99
2020-01-08,709.99
2020-01-18,699.99
2020-02-02,689.99
2020-02-04,699.99
2020-02-11,652.63
2020-02-13,699.99
2020-02-14,652.63
2020-02-15,699.99
2020-03-05,695.66
2020-03-14,699.99
2020-03-15,674.95
2020-04-19,699.99
2020-04-22,689.99
2020-04-23,699.99
2020-04-30,599.99
2020-05-01,699.99
2020-05-02,599.99
2020-05-05,699.99
2020-05-13,689.99
2020-05-16,699.99
2020-05-17,709.99
2020-05-19,689.99
2020-05-21,709.99
2020-05-25,689.99
2020-05-26,679.99
2020-05-27,709.99
2020-05-30,699.99
2020-06-01,709.99
2020-06-21,699.99
2020-07-15,709.99
2020-07-20,719.99
2020-07-27,725.55
2020-07-28,719.99
2020-07-29,725.55
2020-07-31,729.99
2020-08-05,715.34
2020-08-06,719.99
2020-08-07,729.99
2020-08-09,719.99
2020-08-10,729.99
2020-08-12,719.99
2020-08-13,715.91
2020-08-15,729.99
2020-08-16,725.41
2020-08-18,599.99
2020-08-19,729.99
2020-08-20,719.99
2020-08-21,729.99
2020-08-22,719.99
2020-08-24,709.99
2020-08-30,719.99
2020-08-31,709.99
2020-09-04,719.99
2020-09-30,719.28
2020-10-08,719.99
2020-10-25,599.99
2020-11-02,719.99
2020-11-03,599.99
2020-11-14,619.99
2020-11-19,719.99
2020-11-21,619.99
2020-12-20,719.99
2020-12-21,769.99
2020-12-26,719.99
2020-12-27,639.99
2020-12-30,719.99
2020-12-31,639.99
2021-01-30,719.99
2021-01-31,699.99
2021-05-13,719.99
2021-05-15,729.99
2021-05-18,719.99
2021-05-19,729.99
2021-05-20,769.99
2021-05-25,719.99
2021-05-26,1349.99
2021-06-10,1239.99
2021-07-03,1038.99
