date,price
2018-11-03,1319.99
2018-11-21,1279.99
2018-11-28,1299.99
2018-12-22,1309.99
2018-12-23,1279.99
2019-01-03,1299.99
2019-01-04,1329.99
2019-01-05,1319.99
2019-01-06,1329.99
2019-01-07,1299.99
2019-01-09,1329.99
2019-01-18,1299.99
2019-01-23,1189.99
2019-01-24,1239.99
2019-01-26,1269.99
2019-01-28,1279.99
2019-02-09,1189.99
2019-02-12,1139.99
2019-02-24,1069.99
2019-02-27,1278.99
2019-03-01,1229.99
2019-03-02,1279.99
2019-03-03,1229.99
2019-03-04,1209.99
2019-03-09,1229.99
2019-03-10,1199.99
2019-03-11,1229.99
2019-03-13,1199.99
2019-03-14,1229.99
2019-03-15,1069.99
2019-03-17,1199.99
2019-03-20,1229.99
2019-03-21,1069.99
2019-03-22,1229.99
2019-03-30,1199.99
2019-04-04,1209.99
2019-04-05,1149.99
2019-04-23,1069.99
2019-06-02,1129.99
2019-06-04,1150.57
2019-07-01,1083.48
2019-07-17,1099.99
2019-07-18,1091.59
2019-08-01,1081.47
2019-08-06,1049.99
2019-08-07,1059.99
2019-08-18,1049.99
2019-08-19,1059.99
2019-08-20,1049.99
2019-08-24,1059.99
2019-08-28,1049.99
2019-09-10,1099.99
2019-09-11,1049.99
2019-09-13,999.99
2019-09-23,1089.99
2019-09-24,1048.9
2019-09-25,1049.98
2019-10-02,999.99
2019-10-03,1049.99
2019-10-28,1049.98
2019-11-01,1049.99
2019-11-07,1059.99
2019-11-08,1049.99
2019-11-09,1059.99
2019-11-15,1049.99
2019-11-28,929.99
2019-12-04,999.99
2019-12-31,1049.99
2020-01-01,1079.99
2020-01-04,1049.99
2020-01-05,1029.99
2020-01-15,1049.99
2020-01-16,929.99
2020-01-17,1049.99
2020-01-21,1099.99
2020-01-24,1079.99
2020-01-30,1099.99
2020-01-31,1119.99
2020-02-06,1099.99
2020-02-07,1059.99
2020-02-08,1099.99
2020-02-13,1059.99
2020-03-05,1099.99
2020-03-06,1129.99
2020-03-07,1099.99
2020-03-08,929.99
2020-03-09,1099.99
2020-03-10,1079.99
2020-03-11,949.99
2020-03-13,929.99
2020-03-14,1079.99
2020-03-17,1099.99
2020-03-22,1079.99
2020-04-17,899.99
2020-04-21,1079.99
2020-04-22,1099.99
2020-04-23,899.99
2020-04-24,1079.99
2020-04-25,1099.99
2020-04-30,892.99
2020-05-01,1099.99
2020-05-02,1079.99
2020-05-04,1106.76
2020-05-07,1149.99
2020-05-08,1099.99
2020-05-09,949.99
2020-05-10,1099.99
2020-05-11,1149.99
2020-05-13,1129.88
2020-05-15,1159.99
2020-05-17,1149.99
2020-05-18,1129.88
2020-05-22,1149.99
2020-06-05,1159.99
2020-06-06,1149.99
2020-06-07,1179.99
2020-06-10,1159.99
2020-06-17,1149.99
2020-06-20,1099.99
2020-06-25,1069.99
2020-07-02,1149.99
2020-07-04,1159.99
2020-07-07,1149.99
2020-07-10,1129.99
2020-07-11,953.99
2020-07-15,1129.99
2020-07-25,1179.99
2020-07-27,1159.99
2020-07-30,1079.99
2020-08-02,1249.99
2020-08-04,1099.99
2020-08-24,1089.99
2020-08-26,1468.99
2020-09-01,1399.99
2020-09-05,1319.99
2020-09-06,1299.99
2020-09-09,1199.99
2020-09-11,1249.99
2020-09-17,1199.99
2020-09-29,1149.99
2020-10-22,999.99
2020-10-23,1149.99
2020-11-07,999.99
2020-11-15,949.99
2020-12-01,999.99
2020-12-04,1349.99
2021-01-08,1149.99
2021-01-23,999.99
