date,price
2018-09-23,789.99
2018-09-27,839.99
2018-09-28,789.99
2018-10-06,769.99
2018-10-11,789.99
2018-10-14,769.99
2018-10-18,789.99
2018-10-20,769.99
2018-10-28,789.99
2018-10-29,769.99
2018-11-03,699.99
2018-11-06,789.99
2018-11-07,769.99
2018-11-14,749.99
2018-12-22,699.99
2019-01-18,699.99
2019-02-14,689.99
2019-02-15,699.99
2019-02-20,689.99
2019-02-22,699.99
2019-03-03,689.99
2019-03-04,719.99
2019-03-05,699.99
2019-03-06,689.99
2019-03-07,739.99
2019-03-10,699.99
2019-03-11,739.99
2019-03-14,689.99
2019-03-18,729.99
2019-03-23,699.99
2019-03-24,708.99
2019-03-26,699.99
2019-04-28,699.99
2019-05-09,679.99
2019-05-18,679.99
2019-06-01,699.99
2019-06-02,699.99
2019-07-01,719.99
2019-07-05,699.99
2019-07-06,679.99
2019-07-12,669.99
2019-07-13,661.99
2019-07-23,679.99
2019-07-29,661.99
2019-07-30,659.99
2019-08-01,599.99
2019-08-04,659.99
2019-08-09,649.99
2019-08-10,629.99
2019-08-11,659.99
2019-08-15,699.99
2019-08-16,669.99
2019-08-17,695.71
2019-08-18,659.99
2019-08-19,695.82
2019-08-21,699.99
2019-08-23,689.99
2019-08-25,649.99
2019-08-27,629.99
2019-08-28,659.99
2019-09-02,699.99
2019-09-06,689.99
2019-09-11,679.99
2019-09-19,659.99
2019-09-24,649.99
2019-09-25,629.99
2019-09-27,649.36
2019-09-30,659.99
2019-10-01,639.99
2019-10-03,659.99
2019-10-05,679.99
2019-10-06,659.99
2019-10-07,679.99
2019-10-08,649.99
2019-10-09,679.99
2019-10-10,649.99
2019-10-15,629.99
2019-10-18,649.99
2019-10-20,669.99
2019-10-21,659.99
2019-10-22,649.49
2019-10-23,659.99
2019-11-01,689.99
2019-11-03,669.99
2019-11-04,649.99
2019-11-06,684.9
2019-11-08,644.99
2019-11-11,679.99
2019-11-15,649.99
2019-11-23,649.99
2019-11-24,644.99
2019-11-26,639.99
2019-11-28,599.99
2019-11-30,609.99
2019-12-03,659.99
2019-12-04,639.99
2019-12-05,649.99
2019-12-07,659.99
2019-12-17,639.99
2019-12-18,639.99
2019-12-24,629.99
2019-12-25,639.99
2019-12-28,659.99
2019-12-29,659.99
2019-12-31,699.99
2020-01-01,707.61
2020-01-03,749.99
2020-01-05,739.9
2020-01-06,685.49
2020-01-07,739.9
2020-01-14,664.99
2020-01-15,729.99
2020-01-24,609.99
2020-01-27,709.99
2020-01-28,659.99
2020-02-01,669.99
2020-02-03,699.99
2020-02-07,679.99
2020-02-09,699.99
2020-02-17,699.99
2020-02-19,709.99
2020-02-20,689.99
2020-03-05,699.99
2020-03-10,499.99
2020-03-11,569.99
2020-03-13,599.99
2020-03-14,599.95
2020-03-17,699.99
2020-03-19,663.51
2020-03-23,663.26
2020-03-25,599.99
2020-03-28,668.77
2020-03-30,629.99
2020-04-14,599.99
2020-04-15,629.99
2020-04-29,663.36
2020-04-30,689.99
2020-05-01,649.33
2020-05-03,649.45
2020-05-04,599.99
2020-05-05,650.4
2020-05-06,699.99
2020-05-08,649.42
2020-05-09,649.99
2020-05-10,648.18
2020-05-12,648.63
2020-05-13,659.99
2020-05-14,650.54
2020-05-15,649.99
2020-05-16,708.09
2020-05-17,709.99
2020-05-19,659.99
2020-05-21,709.99
2020-05-22,609.99
2020-05-26,839.99
2020-05-28,659.99
2020-06-02,749.99
2020-06-03,1249.99
2020-06-04,1299.99
2020-06-05,609.99
2020-06-10,749.99
2020-06-11,629.99
2020-06-12,1299.99
2020-06-16,629.99
2020-06-18,1299.99
2020-06-19,1279.99
2020-06-21,629.99
2020-06-23,1279.99
2020-07-09,789.99
2020-07-13,1299.99
2020-07-15,689.99
2020-07-21,879.99
2020-08-04,799.99
2020-08-05,929.99
2020-08-06,629.99
2020-08-26,649.99
2020-09-17,799.99
2020-12-21,1449.99
2021-05-13,1299.99
2021-05-15,1289.99
2021-05-22,999.99
2021-05-25,999.99
2021-06-10,1099.99
2021-07-03,998.99
2021-08-28,943.19
2021-08-29,943.17
2021-09-03,943.09
2021-09-05,943.03
2021-09-09,942.99
2021-11-20,841.5
2021-12-17,831.6
2021-12-18,799.33
2021-12-19,799.27
2021-12-21,799.19
2021-12-22,799.13
2021-12-24,799.05
2022-03-30,640.73
2022-04-10,633.19
2022-04-15,633.03
