Product,Timestamp,Dealprice
華為-Mate30,2021-03-30,3999
華為-Mate30-5G,2021-03-30,4989
華為-Mat30Pro,2021-03-30,5299
華為-Mat30Pro-5G,2021-03-30,6399
Vivo-Nex3,2021-03-30,3998
Vivo-Nex3-5G,2021-03-30,3996
三星-Note10,2021-03-30,4699
三星-Note10-5G,2021-03-30,5799
華為-Mate30,2021-03-29,3999.0
華為-Mate30-5G,2021-03-29,4989.0
華為-Mat30Pro,2021-03-29,5299.0
華為-Mat30Pro-5G,2021-03-29,6399.0
Vivo-Nex3,2021-03-29,3998.0
Vivo-Nex3-5G,2021-03-29,3996.0
三星-Note10,2021-03-29,4699.0
三星-Note10-5G,2021-03-29,5799.0
華為-Mate30,2021-03-28,3999.0
華為-Mate30-5G,2021-03-28,4989.0
華為-Mat30Pro,2021-03-28,5299.0
華為-Mat30Pro-5G,2021-03-28,6399.0
Vivo-Nex3,2021-03-28,3998.0
Vivo-Nex3-5G,2021-03-28,3996.0
三星-Note10,2021-03-28,4699.0
三星-Note10-5G,2021-03-28,5799.0
華為-Mate30,2021-03-27,3999.0
華為-Mate30-5G,2021-03-27,4989.0
華為-Mat30Pro,2021-03-27,5299.0
華為-Mat30Pro-5G,2021-03-27,6399.0
Vivo-Nex3,2021-03-27,3998.0
Vivo-Nex3-5G,2021-03-27,3996.0
三星-Note10,2021-03-27,4699.0
三星-Note10-5G,2021-03-27,5799.0
華為-Mate30,2021-03-25,3999.0
華為-Mate30-5G,2021-03-25,4989.0
華為-Mat30Pro,2021-03-25,5299.0
華為-Mat30Pro-5G,2021-03-25,6399.0
Vivo-Nex3,2021-03-25,3998.0
Vivo-Nex3-5G,2021-03-25,3996.0
三星-Note10,2021-03-25,4699.0
三星-Note10-5G,2021-03-25,5799.0
華為-Mate30,2021-03-24,3999.0
華為-Mate30-5G,2021-03-24,4989.0
華為-Mat30Pro,2021-03-24,5299.0
華為-Mat30Pro-5G,2021-03-24,6399.0
Vivo-Nex3,2021-03-24,3998.0
Vivo-Nex3-5G,2021-03-24,3996.0
三星-Note10,2021-03-24,4699.0
三星-Note10-5G,2021-03-24,5799.0
華為-Mate30,2021-03-23,3999.0
華為-Mate30-5G,2021-03-23,4989.0
華為-Mat30Pro,2021-03-23,5299.0
華為-Mat30Pro-5G,2021-03-23,6399.0
Vivo-Nex3,2021-03-23,3998.0
Vivo-Nex3-5G,2021-03-23,3996.0
三星-Note10,2021-03-23,4699.0
三星-Note10-5G,2021-03-23,5799.0
華為-Mate30,2021-03-21,3999.0
華為-Mate30-5G,2021-03-21,4989.0
華為-Mat30Pro,2021-03-21,5299.0
華為-Mat30Pro-5G,2021-03-21,6399.0
Vivo-Nex3,2021-03-21,3998.0
Vivo-Nex3-5G,2021-03-21,3996.0
三星-Note10,2021-03-21,4699.0
三星-Note10-5G,2021-03-21,5799.0
華為-Mate30,2021-03-20,3999.0
華為-Mate30-5G,2021-03-20,4989.0
華為-Mat30Pro,2021-03-20,5299.0
華為-Mat30Pro-5G,2021-03-20,6399.0
Vivo-Nex3,2021-03-20,3998.0
Vivo-Nex3-5G,2021-03-20,3996.0
三星-Note10,2021-03-20,4699.0
三星-Note10-5G,2021-03-20,5799.0
華為-Mate30,2021-03-19,3999.0
