Country,TimeStemp,Product,Deliver,Celluar,Size,Colors
Us,2020-09-21,AppleWatch6,7–8 weeks,GPS,40mm,
Us,2020-09-21,AppleWatch6,7–8 weeks,GPS+Celluar,40mm,
Us,2020-09-21,AppleWatch6,7–8 weeks,GPS,44mm,
Us,2020-09-21,AppleWatch6,7–8 weeks,GPS+Celluar,44mm,
Us,2020-09-21,AppleWatchSE,2–4 business days,GPS,40mm,
Us,2020-09-21,AppleWatchSE,2–4 business days,GPS+Celluar,40mm,
Us,2020-09-21,AppleWatchSE,2–4 business days,GPS,44mm,
Us,2020-09-21,AppleWatchSE,2–4 business days,GPS+Celluar,44mm,
Us,2020-09-21,iPad2020,7–10 business days,Wifi,32GB,Gray
Us,2020-09-21,iPad2020,5–7 business days,Wifi+Celluar,32GB,Gray
Us,2020-09-21,iPad2020,5–7 business days,Wifi,128GB,Gray
Us,2020-09-21,iPad2020,7–10 business days,Wifi+Celluar,128GB,Gray
Us,2020-09-21,iPad2020,5–7 business days,Wifi,32GB,Silver
Us,2020-09-21,iPad2020,7–10 business days,Wifi+Celluar,32GB,Silver
Us,2020-09-21,iPad2020,5–7 business days,Wifi,128GB,Silver
Us,2020-09-21,iPad2020,2–3 weeks,Wifi+Celluar,128GB,Silver
Us,2020-09-21,iPad2020,7–10 business days,Wifi,32GB,Gold
Us,2020-09-21,iPad2020,5–7 business days,Wifi+Celluar,32GB,Gold
Us,2020-09-21,iPad2020,5–7 business days,Wifi,128GB,Gold
Us,2020-09-21,iPad2020,7–10 business days,Wifi+Celluar,128GB,Gold
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,64GB,Gray
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,64GB,Gray
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,256GB,Gray
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,256GB,Gray
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,64GB,Silver
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,64GB,Silver
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,256GB,Silver
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,256GB,Silver
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,64GB,Gold
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,64GB,Gold
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,256GB,Gold
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,256GB,Gold
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,64GB,Green
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,64GB,Green
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,256GB,Green
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,256GB,Green
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,64GB,Blue
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,64GB,Blue
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi,256GB,Blue
Us,2020-09-21,iPadAir2020,Currently unavailable,Wifi+Celluar,256GB,Blue
Tw,2020-09-21,iPad2020,暫未發售,Wifi,32GB,Gray
Tw,2020-09-21,iPad2020,暫未發售,Wifi+Celluar,32GB,Gray
Tw,2020-09-21,iPad2020,暫未發售,Wifi,128GB,Gray
Tw,2020-09-21,iPad2020,暫未發售,Wifi+Celluar,128GB,Gray
Tw,2020-09-21,iPad2020,暫未發售,Wifi,32GB,Silver
Tw,2020-09-21,iPad2020,暫未發售,Wifi+Celluar,32GB,Gray
Tw,2020-09-21,iPad2020,暫未發售,Wifi,128GB,Silver
Tw,2020-09-21,iPad2020,暫未發售,Wifi+Celluar,128GB,Silver
Tw,2020-09-21,iPad2020,暫未發售,Wifi,32GB,Gold
Tw,2020-09-21,iPad2020,暫未發售,Wifi+Celluar,32GB,Gold
Tw,2020-09-21,iPad2020,暫未發售,Wifi,128GB,Gold
Tw,2020-09-21,iPad2020,暫未發售,Wifi+Celluar,128GB,Gold
Cn,2020-09-21,iPad2020,7-10 个工作日,Wifi,32GB,Gray
Cn,2020-09-21,iPad2020,暂未发售,Wifi+Celluar,32GB,Gray
Cn,2020-09-21,iPad2020,7-10 个工作日,Wifi,128GB,Gray
Cn,2020-09-21,iPad2020,暂未发售,Wifi+Celluar,128GB,Gray
